year,constructorId,constructorRef,constructor_name
1958,118,vanwall,Vanwall
1959,170,cooper-climax,Cooper-Climax
1960,170,cooper-climax,Cooper-Climax
1961,6,ferrari,Ferrari
1962,66,brm,BRM
1963,172,lotus-climax,Lotus-Climax
1964,6,ferrari,Ferrari
1965,172,lotus-climax,Lotus-Climax
1966,191,brabham-repco,Brabham-Repco
1967,191,brabham-repco,Brabham-Repco
1968,180,lotus-ford,Lotus-Ford
1969,196,matra-ford,Matra-Ford
1970,32,team_lotus,Team Lotus
1971,25,tyrrell,Tyrrell
1972,32,team_lotus,Team Lotus
1973,32,team_lotus,Team Lotus
1974,1,mclaren,McLaren
1975,6,ferrari,Ferrari
1976,6,ferrari,Ferrari
1977,6,ferrari,Ferrari
1978,32,team_lotus,Team Lotus
1979,6,ferrari,Ferrari
1980,3,williams,Williams
1981,3,williams,Williams
1982,6,ferrari,Ferrari
1983,6,ferrari,Ferrari
1984,1,mclaren,McLaren
1985,1,mclaren,McLaren
1986,3,williams,Williams
1987,3,williams,Williams
1988,1,mclaren,McLaren
1989,1,mclaren,McLaren
1990,1,mclaren,McLaren
1991,1,mclaren,McLaren
1992,3,williams,Williams
1993,3,williams,Williams
1994,3,williams,Williams
1995,22,benetton,Benetton
1996,3,williams,Williams
1997,3,williams,Williams
1998,1,mclaren,McLaren
1999,6,ferrari,Ferrari
2000,6,ferrari,Ferrari
2001,6,ferrari,Ferrari
2002,6,ferrari,Ferrari
2003,6,ferrari,Ferrari
2004,6,ferrari,Ferrari
2005,4,renault,Renault
2006,4,renault,Renault
2007,6,ferrari,Ferrari
2008,6,ferrari,Ferrari
2009,23,brawn,Brawn
2010,9,red_bull,Red Bull
2011,9,red_bull,Red Bull
2012,9,red_bull,Red Bull
2013,9,red_bull,Red Bull
2014,131,mercedes,Mercedes
2015,131,mercedes,Mercedes
2016,131,mercedes,Mercedes
2017,131,mercedes,Mercedes
2018,131,mercedes,Mercedes
2019,131,mercedes,Mercedes
2020,131,mercedes,Mercedes
2021,131,mercedes,Mercedes
2022,9,red_bull,Red Bull
