nationality,num_drivers,total_podiums,distinct_podium_drivers,distinct_race_winners,total_race_wins,podiums_per_driver,wins_per_driver
British,165,744,41,20,309,4.509090909090909,1.8727272727272728
American,158,129,36,15,33,0.8164556962025317,0.2088607594936709
Italian,99,207,28,15,43,2.090909090909091,0.43434343434343436
French,73,309,23,14,81,4.232876712328767,1.1095890410958904
German,50,415,13,7,179,8.3,3.58
Brazilian,32,293,9,6,101,9.15625,3.15625
Argentine,24,98,5,3,38,4.083333333333333,1.5833333333333333
Swiss,23,36,3,2,7,1.565217391304348,0.30434782608695654
Belgian,23,45,6,2,11,1.9565217391304348,0.4782608695652174
South African,23,36,2,1,10,1.565217391304348,0.43478260869565216
Japanese,20,3,3,0,0,0.15,0.0
Australian,18,130,5,4,43,7.222222222222222,2.388888888888889
Dutch,18,91,2,1,45,5.055555555555555,2.5
Austrian,15,118,4,3,41,7.866666666666666,2.7333333333333334
Spanish,15,121,4,2,33,8.066666666666666,2.2
Canadian,14,39,3,2,17,2.7857142857142856,1.2142857142857142
Swedish,10,44,5,3,12,4.4,1.2
Finnish,9,245,7,5,57,27.22222222222222,6.333333333333333
New Zealander,9,71,3,2,12,7.888888888888889,1.3333333333333333
Mexican,6,40,2,2,8,6.666666666666667,1.3333333333333333
Irish,5,0,0,0,0,0.0,0.0
Danish,5,1,1,0,0,0.2,0.0
Monegasque,4,28,2,1,5,7.0,1.25
Russian,4,4,2,0,0,1.0,0.0
Uruguayan,4,0,0,0,0,0.0,0.0
Portuguese,4,1,1,0,0,0.25,0.0
Rhodesian,4,1,1,0,0,0.25,0.0
East German,3,0,0,0,0,0.0,0.0
Venezuelan,3,1,1,1,1,0.3333333333333333,0.3333333333333333
Colombian,3,30,1,1,7,10.0,2.3333333333333335
Indian,2,0,0,0,0,0.0,0.0
Thai,2,2,1,0,0,1.0,0.0
Indonesian,1,0,0,0,0,0.0,0.0
Argentine-Italian,1,0,0,0,0,0.0,0.0
Polish,1,12,1,1,1,12.0,1.0
American-Italian,1,0,0,0,0,0.0,0.0
Liechtensteiner,1,0,0,0,0,0.0,0.0
Chilean,1,0,0,0,0,0.0,0.0
Czech,1,0,0,0,0,0.0,0.0
Malaysian,1,0,0,0,0,0.0,0.0
Hungarian,1,0,0,0,0,0.0,0.0
Chinese,1,0,0,0,0,0.0,0.0
