year,grand_prix,driver,constructor,lap_time
1950,Italy,(ARG) Juan Manuel Fangio,Alfa Romeo,2:00.000
1951,Italy,(ITA) Giuseppe Farina,Alfa Romeo,1:56.500
1952,Italy,"(ITA) Alberto Ascari
(ARG) Jose Froilan Gonzalez","Ferrari
Maserati",2:06.100
1953,Italy,(ARG) Juan Manuel Fangio,Maserati,2:04.500
1954,Italy,(ARG) Jose Froilan Gonzalez,Ferrari,2:00.800
1955,Italy,(GBR) Stirling Moss,Mercedes,2:46.900
1956,Italy,(GBR) Stirling Moss,Maserati,2:45.500
1957,Italy,(GBR) Tony Brooks,Vanwall,1:43.700
1958,Italy,(USA) Phil Hill,Ferrari,1:42.900
1959,Italy,(USA) Phil Hill,Ferrari,1:40.400
1960,Italy,(USA) Phil Hill,Ferrari,2:43.600
1961,Italy,(ITA) Giancarlo Baghetti,Ferrari,2:48.400
1962,Italy,(GBR) Graham Hill,BRM,1:42.300
1963,Italy,(GBR) Jim Clark,Lotus-Climax,1:38.900
1964,Italy,(GBR) John Surtees,Ferrari,1:38.800
1965,Italy,(GBR) Jim Clark,Lotus-Climax,1:36.400
1966,Italy,(ITA) Ludovico Scarfiotti,Ferrari,1:32.400
1967,Italy,(GBR) Jim Clark,Lotus-Ford Cosworth,1:28.500
1968,Italy,(GBR) Jackie Oliver,Lotus-Ford Cosworth,1:26.500
1969,Italy,(FRA) Jean-Pierre Beltoise,Matra-Ford Cosworth,1:25.200
1970,Italy,(CHE) Clay Regazzoni,Ferrari,1:25.200
1971,Italy,(FRA) Henri Pescarolo,March-Ford Cosworth,1:23.800
1972,Italy,(BEL) Jacky Ickx,Ferrari,1:36.300
1973,Italy,(GBR) Jackie Stewart,Tyrrell-Ford Cosworth,1:35.300
1974,Italy,(BRA) Carlos Pace,Brabham-Ford Cosworth,1:34.200
1975,Italy,(CHE) Clay Regazzoni,Ferrari,1:33.100
1976,Italy,(SWE) Ronnie Peterson,March-Ford Cosworth,1:41.300
1977,Italy,(USA) Mario Andretti,Lotus-Ford Cosworth,1:39.100
1978,Italy,(USA) Mario Andretti,Lotus-Ford Cosworth,1:38.230
1979,Italy,(CHE) Clay Regazzoni,Williams-Ford Cosworth,1:35.600
1981,Italy,(ARG) Carlos Reutemann,Williams-Ford Cosworth,1:37.528
1982,Italy,(FRA) Rene Arnoux,Renault,1:33.619
1983,Italy,(BRA) Nelson Piquet,Brabham-BMW,1:34.431
1984,Italy,(AUT) Niki Lauda,McLaren-TAG,1:31.912
1985,Italy,(GBR) Nigel Mansell,Williams-Honda,1:28.283
1986,Italy,(ITA) Teo Fabi,Benetton-BMW,1:28.099
1987,Italy,(BRA) Ayrton Senna,Lotus-Honda,1:26.796
1988,Italy,(ITA) Michele Alboreto,Ferrari,1:29.070
1989,Italy,(FRA) Alain Prost,McLaren-Honda,1:28.107
1990,Italy,(BRA) Ayrton Senna,McLaren-Honda,1:26.254
1991,Italy,(BRA) Ayrton Senna,McLaren-Honda,1:26.061
1992,Italy,(GBR) Nigel Mansell,Williams-Renault,1:26.119
1993,Italy,(GBR) Damon Hill,Williams-Renault,1:23.575
1994,Italy,(GBR) Damon Hill,Williams-Renault,1:25.930
1995,Italy,(AUT) Gerhard Berger,Ferrari,1:26.419
1996,Italy,(DEU) Michael Schumacher,Ferrari,1:26.110
1997,Italy,(FIN) Mika Hakkinen,McLaren-Mercedes,1:24.808
1998,Italy,(FIN) Mika Hakkinen,McLaren-Mercedes,1:25.139
1999,Italy,(DEU) Ralf Schumacher,Williams-Supertec,1:25.579
2000,Italy,(FIN) Mika Hakkinen,McLaren-Mercedes,1:25.595
2001,Italy,(DEU) Ralf Schumacher,Williams-BMW,1:25.073
2002,Italy,(BRA) Rubens Barrichello,Ferrari,1:23.657
2003,Italy,(DEU) Michael Schumacher,Ferrari,1:21.832
2004,Italy,(BRA) Rubens Barrichello,Ferrari,1:21.046
2005,Italy,(FIN) Kimi Raikkonen,McLaren-Mercedes,1:21.504
2006,Italy,(FIN) Kimi Raikkonen,McLaren-Mercedes,1:22.559
2007,Italy,(ESP) Fernando Alonso,McLaren-Mercedes,1:22.871
2008,Italy,(FIN) Kimi Raikkonen,Ferrari,1:28.047
2009,Italy,(DEU) Adrian Sutil,Force India-Mercedes,1:24.739
2010,Italy,(ESP) Fernando Alonso,Ferrari,1:24.139
2011,Italy,(GBR) Lewis Hamilton,McLaren-Mercedes,1:26.187
2012,Italy,(DEU) Nico Rosberg,Mercedes,1:27.239
2013,Italy,(GBR) Lewis Hamilton,Mercedes,1:25.849
2014,Italy,(GBR) Lewis Hamilton,Mercedes,1:28.004
2015,Italy,(GBR) Lewis Hamilton,Mercedes,1:26.672
2016,Italy,(ESP) Fernando Alonso,McLaren-Honda,1:25.340
2017,Italy,(AUS) Daniel Ricciardo,Red Bull-TAG Heuer,1:23.361
2018,Italy,(GBR) Lewis Hamilton,Mercedes,1:22.497
2019,Italy,(GBR) Lewis Hamilton,Mercedes,1:21.779
2020,Italy,(GBR) Lewis Hamilton,Mercedes,1:22.746
2021,Italy,(AUS) Daniel Ricciardo,McLaren-Mercedes,1:24.812
2022,Italy,(MEX) Sergio Perez,Red Bull-RBPT,1:24.030
